DATE,VEHICLE NO,CENTER NAME,INV NO,PARTY NAME,ITEM,BOX,NET,ICE/WATER,PAY WEIGHT,RATE,AMOUNT
2025-05-09,MH01EE9329,KASARA,2651,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,25,1191,150,1041,2,2082
2025-05-09,MH01EE9329,KASARA,2651,NAGESHWAR FISHERIES,MIX FISH,10,477,60,417,15,6255
2025-05-09,MH43CM6444,KASARA,2652,NAGESHWAR FISHERIES,MIX FISH,0,6630,265,6365,15,95475
2025-05-09,MH43CA6444,KASARA,2653,MG SEA FOODS,MIX FISH,185,10660,490,10170,15,152550
2025-05-09,MH01EE9329,KASARA,2654,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,18,863,70,793,2,1586
2025-05-09,MH01EE9329,KASARA,2654,NAGESHWAR FISHERIES,MIX FISH,79,4517,306,4211,15,63165
2025-06-09,MH05DK6520,UTTAN,2655,JANVI SEA FOODS,MIX FISH,42,2250,147,2103,15,31545
2025-06-09,MH04FU2482,TALOJA,2656,VARAD VINAYAK,PRAWN HEAD AND SHEL,135,4418,368,4050,2,8100
2025-06-09,MH04FU2482,TALOJA,2656,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,1992,300,1692,2,3384
2025-06-09,MH01EE9329,KASARA,2657,NAGESHWAR FISHERIES,MIX FISH,59,2880,227,2653,15,39795
2025-06-09,MH01EE9329,KASARA,2657,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,32,1562,123,1439,2,2878
2025-06-09,MH01EE9329,KASARA,2657,NAGESHWAR FISHERIES,MUNDI,11,536,42,494,8,3952
2025-11-09,MH46CL9310,TALOJA,2658,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3220,322,2898,2,5796
2025-11-09,MH43CM6444,KASARA,2659,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,117,5859,397,5462,2,10924
2025-11-09,MH43CM6444,KASARA,2659,NAGESHWAR FISHERIES,MIX FISH,50,2781,170,2611,15,39165
2025-11-09,MH43CL9310,TALOJA,2660,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,500,50,450,2,900
2025-11-09,MH04FU2482,TALOJA,2661,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,9700,970,8730,2,17460
2025-11-09,MH43CL9310,TALOJA,2663,VARAD VINAYAK,PRAWN HEAD AND SHEL,50,1820,60,1760,2,3520
2025-11-09,MH43CA6444,KASARA,2664,NAGESHWAR FISHERIES,MUNDI,3,139,7,132,8,1056
2025-11-09,MH43CA6444,KASARA,2664,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,10,465,25,440,2,880
2025-11-09,MH43CA6444,KASARA,2664,NAGESHWAR FISHERIES,MIX FISH,63,3106,158,2948,15,44220
